name	icon	ingredients	level	video	origin
ARTICHOKE & RICOTTA ROLLATINI	./images/recipe/artichoke and recotta rollatini/image.png	"pasta,artichoke,egg,cream"	2	https://youtu.be/PhjmKei228w	http://www.byrontalbott.com/artichoke-ricotta-rollatini/
PEACHES & CREAM	./images/recipe/peaches and cream/image.png	"beef,shirimp,bread,peach,cream"	3	https://youtu.be/_SAe0n_fgRw	http://www.byrontalbott.com/surf-turf-tortas-w-grilled-peaches-cream/
STEAK AND POTATOES	./images/recipe/steak and potatoes/image.png	"potato,beef,cream"	3	https://youtu.be/6Cau7KBtkw4	http://www.byrontalbott.com/steak-and-potatoes-2/
CRISPY LASAGNA	./images/recipe/crispy lasagna/image.png	"pasta,beef"	3	https://youtu.be/Scu3VpgbS9A	http://www.byrontalbott.com/crispy-lasagna/
GRILLED N.Y. STRIP & WARM LENTIL SALAD	./images/recipe/grilled strip and warm lentil salad/image.png	"beef,lentil"	2	https://youtu.be/xqnp7WaP9gM	http://www.byrontalbott.com/grilled-n-y-strip-warm-lentil-salad/
HERB CRUSTED SNAPPER	./images/recipe/herb crusted snapper/image.png	"fish,bread"	3	https://youtu.be/8tc7rfRODEA	http://www.byrontalbott.com/herb-crusted-snapper/
RED WINE BRAISED SHORT RIBS	./images/recipe/red wine braised short ribs/image.png	"beef,wine,potato"	3	https://youtu.be/bIvR2X9H3nY	http://www.byrontalbott.com/red-wine-braised-short-ribs/
HEIRLOOM TOMATO SALAD	./images/recipe/heirloom tomato salad/image.png	"tomato,wine"	1	https://youtu.be/gtLNFknUS_A	http://www.byrontalbott.com/heirloom-tomato-salad/
PINE NUT CRUSTED SALMON	./images/recipe/pine nut crusted salmon/image.png	"nut,bread,salmon"	3	https://youtu.be/b9Y_9gXSKeQ	http://www.byrontalbott.com/pine-nut-crusted-salmon/
CRISPY RAVIOLI	./images/recipe/crispy ravioli/image.png	"egg,flour,cream,bread"	3	https://youtu.be/Tbkw1EyBjOg	http://www.byrontalbott.com/crispy-ravioli/
FETUCELLE PASTA	./images/recipe/fetucelle pasta/image.png	"egg,bread,tomato"	2	https://youtu.be/-2FBmFLbsFw	http://www.byrontalbott.com/fetucelle-pasta/
TUNA TACO	./images/recipe/tuna taco/image.png	"tortilla,tuna"	1	https://youtu.be/5rTI7D6JCfo	http://www.byrontalbott.com/tuna-taco/
TACOS DE ROPA VIEJA	./images/recipe/tacos de ropa vieja/image.png	"beef,tortilla"	3	https://youtu.be/Omnz7JvgRb0	http://www.byrontalbott.com/tacos-de-ropa-vieja/
BBQ RIBS	./images/recipe/bbq ribs/image.png	beef	4	https://youtu.be/oMiuKWV4ZP0	http://www.byrontalbott.com/bbq-ribs/
HOMEMADE LOX	./images/recipe/homemade lox/image.png	salmon	1	https://youtu.be/DyeJUr2karU	http://www.byrontalbott.com/homemade-lox/
SWEET & SOUR GRILLED SEA BASS	./images/recipe/sweet and sour grilled sea bass/image.png	fish	2	https://youtu.be/tGQDQULWv-0	http://www.byrontalbott.com/sweet-sour-grilled-sea-bass/
AHI POKE	./images/recipe/ahi poke/image.png	tuna	1	https://youtu.be/t_G4MXjgnGE	http://www.byrontalbott.com/ahi-poke/
POTATO GNOCCHI	./images/recipe/potato gnocchi/image.png	"potato,egg"	3	https://youtu.be/Xm0KBZoxT1Y	http://www.byrontalbott.com/potatognocchi/
THE LOADED BAKED POTATO	./images/recipe/the loaded baked potato/image.png	potato	2	https://youtu.be/2tozlzDHoqo	http://www.byrontalbott.com/the-loaded-baked-potato/
CRAB CAKES	./images/recipe/crab cakes/image.png	"crab,bread,egg"	3	https://youtu.be/B728hfzt1ss	http://www.byrontalbott.com/crab-cakes/
BROWN BUTTER PUMPKIN TORTELLINI	./images/recipe/brown butter pumkin tortellini/image.png	pumpkin	3	https://youtu.be/ELnNKcFo22E	http://www.byrontalbott.com/brown-butter-pumpkin-tortellini/
DUCK CONFIT	./images/recipe/duck confit/image.png	duck	4	https://youtu.be/MHhLJqghY-o	http://www.byrontalbott.com/duck-confit/
FRENCH ONION SOUP	./images/recipe/french onion soup/image.png	"onion,bread"	5	https://youtu.be/EZx4qrE9Iew	http://www.byrontalbott.com/french-onion-soup/
BREAKFAST QUESADILLAS	./images/recipe/breakfast quesadillas/image.png	"tortilla,chorizo"	4	https://youtu.be/pzfgkzE_rbo	http://www.byrontalbott.com/breakfast-quesadillas/
HONEY BAKED EGGS BENEDICT	./images/recipe/honey baked eggs benedict/image.png	"egg,ham"	2	https://youtu.be/V_oa9fJU1gE	http://www.byrontalbott.com/honey-baked-eggs-benedict/
BREAKFAST TOSTADA	./images/recipe/breakfast tostada/image.png	"egg,tortilla"	2	https://youtu.be/1rHzS0d4YHs	http://www.byrontalbott.com/1-breakfast-tostada/
CRISPY EGGS BENEDICT	./images/recipe/crispy eggs benedict/image.png	"egg,bread,asparagus,avocado,lemon"	2	https://youtu.be/iMUwnJhlLpc	http://www.byrontalbott.com/crispy-eggs-benedict/
BLUEBERRY PANCAKES	./images/recipe/blueberry pancakes/image.png	"blueberry,rum"	2	https://youtu.be/JhBDE8LdfOs	http://www.byrontalbott.com/blueberry-pancakes/
"EGGS, BACON, & HASH POTATOES"	./images/recipe/eggs bacon and hash potatoes/image.png	"egg,potato"	2	https://youtu.be/4S5o7gDtIPI	http://www.byrontalbott.com/eggs-bacon-hash-potatoes/
MY BREAKFAST BURRITO	./images/recipe/my breakfast burrito/image.png	"potato,egg"	2	https://youtu.be/6Ta6D_Hz_zs	http://www.byrontalbott.com/my-breakfast-burrito/
CRISPY CAULIFLOWER	./images/recipe/crispy cauliflower/image.png	cauliflower	1	https://youtu.be/6IZ77uewMWI	http://www.byrontalbott.com/crispy-cauliflower/
THE CRISPY POTATO STACK	./images/recipe/the crispy potato stack/image.png	potato	1	https://youtu.be/BF6pomWXxes	http://www.byrontalbott.com/the-crispy-potato-stack/
TATER TOTS	./images/recipe/tater tots/image.png	potato	2	https://youtu.be/0bqLUESpFk4	http://www.byrontalbott.com/tater-tots/
GREEN BEANS ALMONDINE	./images/recipe/green beans almondine/image.png	"bean,almond"	2	https://youtu.be/lP47j_4RwXQ	http://www.byrontalbott.com/green-beans-almondine/
PASSION FRUIT GRANITA	./images/recipe/passion fruit granita/image.png	passion fruit	1	https://youtu.be/Q1SvUKpW3W8	http://www.byrontalbott.com/passion-fruit-granita/
APPLE-WHISKEY DONUTS (VEGAN)	./images/recipe/apple whiskey donuts/image.png	"flour,apple,whiskey"	3	https://youtu.be/6TWjFjA7OSY	http://www.byrontalbott.com/apple-whiskey-donuts-vegan/
"CANNOLI BITES (MATCHA, DARK CHOCOLATE, VANILLA)"	./images/recipe/cannoli bites/image.png	"flour,cream"	2	https://youtu.be/Uxrb33eGCJc	http://www.byrontalbott.com/cannoli-bites-matcha-dark-chocolate-vanilla/
SMORE TART	./images/recipe/smore tart/image.png	"flour,cream"	2	https://youtu.be/LEhQgGt6Dmw	http://www.byrontalbott.com/smore-tart/
PASSION FRUIT CHEESECAKE	./images/recipe/passion fruit cheesecake/image.png	"flour,passion fruit,cream"	3	https://youtu.be/0DDjYqXsfp8	http://www.byrontalbott.com/passion-fruit-cheesecake/
BANANA BREAD ICE CREAM SANDWICH	./images/recipe/banana bread ice cream sandwich/image.png	"banana,flour,egg,cream"	2	https://youtu.be/9_eTaVPZx0M	http://www.byrontalbott.com/banana-bread-ice-cream-sandwich/
