recipe,index,image,text
ARTICHOKE & RICOTTA ROLLATINI,1,/images/recipe/artichokce and recotta rollatini/image.png,
ARTICHOKE & RICOTTA ROLLATINI,2,/images/recipe/artichokce and recotta rollatini/ingr.png,
ARTICHOKE & RICOTTA ROLLATINI,3,/images/recipe/artichokce and recotta rollatini/1.png,Begin by adding a pinch of salt to a large pot of boiling water. Clean and trim 4 artichokes. Transfer to the boiling water and cover. Cook for 45-60 minutes or until tender.
ARTICHOKE & RICOTTA ROLLATINI,4,/images/recipe/artichokce and recotta rollatini/2.png,Once the artichokes are done cooking allow them to cool before handling. Remove the leaves from each artichoke (saving for a snack) and scoop out the fibrous center leaving only the artichoke hearts.
ARTICHOKE & RICOTTA ROLLATINI,5,/images/recipe/artichokce and recotta rollatini/3.png,"Chop up the artichoke hearts (cooked) and add them to a bowl along with 1 cup of chopped arugula , 1/2 cup of ricotta, 2 egg yolks, 1 tsp chopped lemon zest, salt, and pepper. Give this a good mix and refrigerate until ready to use."
ARTICHOKE & RICOTTA ROLLATINI,6,/images/recipe/artichokce and recotta rollatini/4.png,"In a food processor combine 3 egg yolks, 1/4 cup of water, 1 1/4 cups of all purpose flour (00 recommended), 1/4 cup of olive oil, and 1 tsp of salt. Blend, intermittently checking the texture and adding more water if necessary. The dough should stick together and be clay like. Transfer the dough to a work surface and knead it for about five minutes until you have a small ball of dough. Cover in plastic and transfer to the fridge to set up for about 30 minutes before rolling it out."
ARTICHOKE & RICOTTA ROLLATINI,7,/images/recipe/artichokce and recotta rollatini/5.png,"When the dough has rested, remove it from the fridge, roll it out, divide it into two, roll out one half, and then begin pressing it into sheets using a pasta maker. Start with a thicker setting and with each pass lower the setting until you reach about a #3 setting on the maker."
ARTICHOKE & RICOTTA ROLLATINI,8,/images/recipe/artichokce and recotta rollatini/6.png,"With the dough rolled out in pasta sheets, trim the long sheets into pieces that are about 3”x5” in size. Use a pasta cutter (optional) to flute the edges of the pasta sheets. Dust each sheet of pasta with a little flour and transfer them to a tray."
ARTICHOKE & RICOTTA ROLLATINI,9,/images/recipe/artichokce and recotta rollatini/7.png,In a medium pot simply boil each pasta sheet until they are al dente. Coat a tray with a drizzle of olive oil and strain the pasta before coating in the oil.
ARTICHOKE & RICOTTA ROLLATINI,10,/images/recipe/artichokce and recotta rollatini/8.png,"Once the pasta sheets are cool enough to handle, add a generous portion of ricotta to the each of noodle. Gently roll the rollitini and transfer to a tray coated in oil. Repeat the process."
ARTICHOKE & RICOTTA ROLLATINI,11,/images/recipe/artichokce and recotta rollatini/9.png,"Next steep 1/2 cup of cream with a little lemon zest, garlic, and thyme. Add a few spoonfuls of the cream to a small baking dish, transfer in the rollitinis, top with a few more spoonfuls of cream, some shredded mozzarella, and fresh parmesan to finish. Bake at 375F for 20 minutes or until the cheese is a golden brown."
ARTICHOKE & RICOTTA ROLLATINI,12,/images/recipe/artichokce and recotta rollatini/10.png,"Once nice and crispy, remove from the oven and top with some fresh herbs—I used thyme and basil. Add some fresh parmesan cheese and ENJOY!"
PEACHES & CREAM,1,/images/recipe/peaches and cream/image.png,
PEACHES & CREAM,2,/images/recipe/peaches and cream/ingr.png,
PEACHES & CREAM,3,/images/recipe/peaches and cream/1.png,"Begin making the roasted pepper salsa for the tortas by taking 2 poblano peppers, 1 serrano pepper, and a quarter white onion. Place them under a broiler for approximately 10 minutes, turning them every two minutes for an even roast. Once roasted, transfer them to a bowl, cover in plastic, and allow them to steam for 10-15 minutes. When the chilis and onion become nice and tender, remove the skin from the chilis and dice up both them and the onions. Transfer to a bowl and top with 2 tbsp of chopped cilantro, 1 tbsp of lime juice, 1 tbsp of olive oil, and a pinch of salt. Give a good mix and set aside."
PEACHES & CREAM,4,/images/recipe/peaches and cream/2.png,"Clean and prep 12-15 large shrimp. Season them with a blend of 1 tbsp cayenne pepper, 1 tbsp smoked paprika, 1 tbsp cumin, and 1 tbsp chili powder. Add a dash of fresh lime zest, freshly chopped cilantro, a squeeze of lime juice, and a drizzle of canola oil to prevent them from sticking to the grill. Give the shrimp a toss or two and set aside until ready to grill."
PEACHES & CREAM,5,/images/recipe/peaches and cream/3.png,"Prep your dessert by halving 3-4 peaches (slightly underripe) and topping them with 3 tbsp of brown sugar, a pinch of salt, and 2 tbsp of anejo tequila (optional). Transfer to the grill, being sure to cook before the meat. Grill on high heat for 2-3 minutes on each side, or until they begin to char. Once they have char marks all around, remove them from the heat, cover in plastic and set aside."
PEACHES & CREAM,6,/images/recipe/peaches and cream/4.png,"Begin grilling the meat by seasoning 1 10oz ribeye with 3-4 tbsp of kosher salt along with the same spice blend used on the shrimp. Give this a good rub and transfer to the grill to cook for 5-7 minutes on each side, or until the meat achieves a golden caramelization. Transfer to a buttered dish and set aside until needed."
PEACHES & CREAM,7,/images/recipe/peaches and cream/5.png,"Transfer the shrimp to the hottest part of the grill and cook for about 90 seconds on each side. Remove from the heat, slice them up, and transfer to a mixing bowl. Top with a handful of cilantro, sliced celery, sliced red onion, chopped seranno peppers, a sprinkle of the spice mixture, a pinch of salt, squeeze of lime juice, and 2 tbsp of mayo. Give this a good mix and set aside for plating."
PEACHES & CREAM,8,/images/recipe/peaches and cream/6.png,"Halve, butter, and char up a few wheat loafs. Add a smear of mayo to the bread. Slice of up the steak to your liking, I prefer thinner slices that are easy to eat in a sandwich. Add the sliced steak to one of the loafs. Top with the roast pepper salsa, some sliced red onion, and a handful of shredded romaine. Top the other loaf with a hearty helping of the shrimp slaw, some cilantro, lime juice, and shredded romaine. Top the sandwiches, skewer, and halve them."
PEACHES & CREAM,9,/images/recipe/peaches and cream/7.png,"Serve with the grilled peaches topped with a brown butter crumble (1 cup of flour, 1/4 cup of diced butter, 1/2 cup of sugar, 1 tsp of cinnamon, nutmeg, ginger, and allspice). Add a few dollops of fresh whipped cream (1 cup of heavy cream, 1/4 tbsp of honey, 2 tbsp of vanilla paste) and all that’s left to do is ENJOY a very well rounded meal!"
STEAK AND POTATOES,1,/images/recipe/steak and potatoes/image.png,
STEAK AND POTATOES,2,/images/recipe/steak and potatoes/ingr.png,
STEAK AND POTATOES,3,/images/recipe/steak and potatoes/1.png,"Start by squaring off the edges of 1 large russet potato. Using a mandolin, or knife, carefully slice the potato into long slender pieces. You want to achieve the thickness of a credit card or so."
STEAK AND POTATOES,4,/images/recipe/steak and potatoes/2.png,"Stack the potato slices as evenly as possible and then trim the edges to make an even rectangular shape. Cut the rectangle in half, press the slices firmly together, and shingle them into a stair-like structure."
STEAK AND POTATOES,5,/images/recipe/steak and potatoes/3.png,"Transfer to a frying pan filled with canalo oil heated to 325°F. Fry for about 4-5 minutes, or until a crispy golden brown, flipping throughout. Transfer to a paper towel to drain. Sprinkle with a little sea salt and set aside."
STEAK AND POTATOES,6,/images/recipe/steak and potatoes/4.png,"Season a large (10 oz. is perfect) strip steak on both sides with salt and pepper. Transfer to a frying pan on high heat and sear for about 4 minutes on both sides. After the first flip add 3 tbsp of butter, 1 bunch of thyme, and"
STEAK AND POTATOES,7,/images/recipe/steak and potatoes/5.png,"1 garlic clove. Baste the meat in the butter sauce for a minute or two, careful not to overcook the meat or burn the butter. Remove from the pan and let rest for 7-10 minutes be slicing."
STEAK AND POTATOES,8,/images/recipe/steak and potatoes/6.png,"Whip up a quick horseradish spread by mixing together 1/2 cup of sour cream, 1 tbsp of prepared horseradish, salt and pepper to taste."
STEAK AND POTATOES,9,/images/recipe/steak and potatoes/7.png,"Begin plating with a smear of the “horsey” sauce, followed by a crispy potato, a couple thick slices of the center cut NY strip, a pinch of malden salt, fresh cracked pepper, finely chopped chives, and a drizzle of olive oil. ENJOY!"
CRISPY LASAGNA,1,/images/recipe/crispy lasagna/image.png,
CRISPY LASAGNA,2,/images/recipe/crispy lasagna/ingr.png,
CRISPY LASAGNA,3,/images/recipe/crispy lasagna/1.png,"Begin making a simple bolognese by bringing a sauce pot to high heat, adding a drizzle of olive oil, 3 tbsp of minced onion, and 1 clove of minced garlic. Add in 1/4 lb of ground beef and give this a little mix. Allow to brown for 1 minute, or until it just begins to crisp up. As it begins to caramelize season with salt & pepper. Add 2 tbsp of chopped basil, 1/2 cup of sherry wine, and 3 tbsp of tomato paste. Give this a good stir and allow to simmer while you prep—adding in a splash of water as needed."
CRISPY LASAGNA,4,/images/recipe/crispy lasagna/2.png,In a medium sauce pan on low heat add 3 cups of whole milk and 2 tsp of salt. Once the mixture begins to bubble add the juice of one lemon and remove from the heat for 10 minutes to thicken up. Strain the ricotta mixture over a cheese clothe to remove the excess liquid. Give the clothe a few squeezes to drain.
CRISPY LASAGNA,5,/images/recipe/crispy lasagna/3.png,"Transfer the ricotta to a small bowl and give it a good stir. Add in some freshly grated parmesan, a hearty helping of shredded mozzarella, 2 tbsp of fresh basil, a pinch of salt, and pepper to taste. Give this a solid mix and set aside."
CRISPY LASAGNA,6,/images/recipe/crispy lasagna/4.png,"Begin frying your pasta sheets by filling a large pan 1/5th way up with canola oil and bringing it to 350°F. Fry the sheets of pasta until they are a solid golden brown, flipping so each side can cook. Transfer to a towel to drain and repeat the process until the noodles are all fried up."
CRISPY LASAGNA,7,/images/recipe/crispy lasagna/5.png,"In a small baking dish, begin layering the lasagna with a few spoonfuls of the bolognese, a fried lasagna noodle, a few spoonfuls of the fresh 3-cheese ricotta, more of the bolognese sauce, a handful of shredded mozzarella, and top with a fried noodle. Repeat this process until the desired number of layers are reached--ending with the shredded mozzarella. Bake at 400°F for 10-12 minutes, or until the top begins to turn golden."
CRISPY LASAGNA,8,/images/recipe/crispy lasagna/6.png,"Top the home made crispy lasagna with some fresh parmesan cheese, a few basil leaves, and a sprinkle of chili flakes. All that’s left to do is ENJOY!"
GRILLED N.Y. STRIP & WARM LENTIL SALAD,1,/images/recipe/grilled strip and warm lentil salad/image.png,
GRILLED N.Y. STRIP & WARM LENTIL SALAD,2,/images/recipe/grilled strip and warm lentil salad/ingr.png,
GRILLED N.Y. STRIP & WARM LENTIL SALAD,3,/images/recipe/grilled strip and warm lentil salad/1.png,"In a small pan on medium heat, add a drizzle of olive oil, 2 tbsp of a diced red onion, 2 tbsp of a diced fennel bulb, and 1/2 clove of minced garlic. Give this a quick stir and allow to cook for about a minute, or until the veggies become slightly transparent."
GRILLED N.Y. STRIP & WARM LENTIL SALAD,4,/images/recipe/grilled strip and warm lentil salad/2.png,"Add in 1/2 cup of beluga lentils, a pinch of salt, and 1 cup of water. Cook for 20-30 minutes, or until the lentils are tender."
GRILLED N.Y. STRIP & WARM LENTIL SALAD,5,/images/recipe/grilled strip and warm lentil salad/3.png,"While that cooks begin making the chimmy churry sauce by combining 2 tbsp of diced red onion, 2 tbsp of diced fennel bulb, 1/2 clove of garlic minced, 1 tbsp of parsley finely chopped, 1 tbsp of cilantro finely chopped, salt & pepper to taste, 1 tsp of chili flakes, and a bit of olive oil for the base. Give this a good mix and set aside."
GRILLED N.Y. STRIP & WARM LENTIL SALAD,6,/images/recipe/grilled strip and warm lentil salad/4.png,"Season a 8-10oz strip steak with salt and pepper to taste—on both sides. Sear on high heat for 2-3 minutes on each side, or until the desired charr is achieved. Remove from heat and let rest for 5 minutes before slicing up and serving."
GRILLED N.Y. STRIP & WARM LENTIL SALAD,7,/images/recipe/grilled strip and warm lentil salad/5.png,Before plating with a few spoonfuls of the cream to the lentils.
GRILLED N.Y. STRIP & WARM LENTIL SALAD,8,/images/recipe/grilled strip and warm lentil salad/6.png,"Transfer to a serving dish and top with a several slices of the strip steak, a couple chunks of sliced avocado, and a few spoonfuls of the chimmy churry sauce. Season with salt, pepper, and ENJOY!"
HERB CRUSTED SNAPPER,1,/images/recipe/herb crusted snapper/image.png,
HERB CRUSTED SNAPPER,2,/images/recipe/herb crusted snapper/ingr.png,
HERB CRUSTED SNAPPER,3,/images/recipe/herb crusted snapper/1.png,"In a sauce pan on medium to high heat, add 1/4 cup of minced onion, 2 tsp of fresh thyme, 1 clove of minced garlic, and a drizzle of olive oil."
HERB CRUSTED SNAPPER,4,/images/recipe/herb crusted snapper/2.png,"Sweat the veggies for 2-3 minutes before adding 1/2 cup of brown rice and cooking for another 2 minutes. Lastly add 1 cup of chicken stock, give this a good stir, and cook the pilaf for about 15 minutes, or until the rice is nice and tender."
HERB CRUSTED SNAPPER,5,/images/recipe/herb crusted snapper/3.png,"Begin making the breadcrumbs by adding 2 tbsp of parsley, 2 tbsp of basil, 1 sprig of thyme, 1/2 clove of garlic, and 2-3 slices of bread to a food processor. Pulse until the desired texture of breadcrumb is reached. Transfer to a pan and bake at 375°F until nice and crispy."
HERB CRUSTED SNAPPER,6,/images/recipe/herb crusted snapper/4.png,"Season 3 halved and trimmed filets of red snapper (any small white fish will do) with a pinch of salt and then transfer them to an oiled (drizzle of olive oil will do) non-stick pan. As the fish begins to brown, add a couple sprigs of rosemary and 1-3 tbsp of butter. Flip once golden brown and add 2 tbsp of halved/shelled hazelnuts, a little more butter, and 2 tbsp of lemon juice. Cook for about 5-7 minutes, or until the fish is cooked through and the outside is golden and crispy. Remove from heat."
HERB CRUSTED SNAPPER,7,/images/recipe/herb crusted snapper/5.png,"Quickly finish off the pilaf by adding a helping of mascarpone cheese or heavy cream, parmesan, and a couple handfuls of spinach. Give this a stir to wilt the spinach and you’re ready to serve."
HERB CRUSTED SNAPPER,8,/images/recipe/herb crusted snapper/6.png,"Begin plating with a hearty serving of the creamy pilaf, a couple pieces of the crispy snapper, a spoonful of the remaining browned butter and hazelnuts, with a sprinkle of the roasted breadcrumbs, and a few petite basil leaves for garnish. All that’s left to do is enjoy!"
RED WINE BRAISED SHORT RIBS,1,/images/recipe/red wine braised short ribs/image.png,
RED WINE BRAISED SHORT RIBS,2,/images/recipe/red wine braised short ribs/ingr.png,
RED WINE BRAISED SHORT RIBS,3,/images/recipe/red wine braised short ribs/1.png,"In a large saute pan on medium to high heat, add a drizzle of olive oil, 1 quartered white onion, and 1 clove of garlic. Let caramelize while you begin to season the beef."
RED WINE BRAISED SHORT RIBS,4,/images/recipe/red wine braised short ribs/2.png,Season 2lbs of boneless short ribs with salt and pepper.
RED WINE BRAISED SHORT RIBS,5,/images/recipe/red wine braised short ribs/3.png,"Transfer to the hot pan, along with 3 bay leaves, 1 tbsp coriander seeds, 1 tbsp fennel seeds, and 1 sprig rosemary. Let the meat sear for about 5-7 minutes and then turn them over."
RED WINE BRAISED SHORT RIBS,6,/images/recipe/red wine braised short ribs/4.png,"Top with 1 cup of red wine and 3-4 cups beef stock. Remove from the heat, cover in foil, and transfer to an oven at 400°F for 3 hours."
RED WINE BRAISED SHORT RIBS,7,/images/recipe/red wine braised short ribs/5.png,"About 30-40 minutes before the meat is finished cooking, place 5-6 yukon gold potatoes on a sheet of foil. Drizzle with olive oil and season with salt. Transfer to the same oven and cook for 45-60 minutes, or until the potatoes are tender."
RED WINE BRAISED SHORT RIBS,8,/images/recipe/red wine braised short ribs/6.png,"When the short ribs are done braising, remove them from the oven and strain the braising liquid from the pan into a medium sauce pot. Place the sauce pot on medium heat and bring to a simmer."
RED WINE BRAISED SHORT RIBS,9,/images/recipe/red wine braised short ribs/7.png,"In a separate bowl add 2 tbsp of all-purpose flour and a ladle of the braising liquid. Whisk vigorously, or until it becomes very smooth. Transfer the mixture back into the simmering braising liquid and give it a good whisk to remove any clumps. Place the braised short ribs into the sauce pan and continue to simmer."
RED WINE BRAISED SHORT RIBS,10,/images/recipe/red wine braised short ribs/8.png,Remove the fork tender potatoes from the oven and transfer them to a separate pan. Give them all (or in my case one since I’m making a single serving) a good mash with the bottom of a fork.
RED WINE BRAISED SHORT RIBS,11,/images/recipe/red wine braised short ribs/9.png,"Take a large bunch of asparagus and quarter each piece. Add them to the pan along with a drizzle of olive oil, salt and pepper to taste. Transfer to the oven and broil for 5-7 minutes, or until cooked to your preference."
